"","GUID","Population","Collector_ID","Sex","Generation","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"157","NA","Brazil","FMM393","Male","N1",195,97,18,17,19.29,98,"446",NA
"158","NA","Brazil","FMM460","Male","N1",139,NA,19,14,15.9,139,"453",NA
"159","NA","Brazil","FMM361","Male","N1",188,89,18,16,23.2,99,"505",NA
"160","NA","Brazil","FMM405","Male","N1",142,NA,19,15,18.7,142,"505",NA
"161","NA","Brazil","FMM392","Male","N1",171,86,15,13,16.1,85,"526",NA
"162","NA","Brazil","FMM391","Male","N1",182,84,16,14,19.3,98,"535",NA
"163","NA","Brazil","FMM464","Male","N1",177,88,18,14,19.5,89,"700",NA
"164","NA","Brazil","FMM306","Male","N1",120,73,17,14,15,47,"NA",NA
"165","NA","Brazil","FMM308","Male","N1",177,84,19,15,19.5,93,"NA",NA
"166","NA","Brazil","FMM314","Male","N1",176,88,17,16,19.7,88,"NA",NA
"167","NA","Brazil","FMM315","Male","N1",178,91,18,15,16.7,87,"NA",NA
"168","NA","Brazil","FMM318","Male","N1",163,86,18,17,17.3,77,"NA",NA
"169","NA","Brazil","FMM327","Male","N1",166,86,15,15,14.9,80,"NA",NA
"170","NA","Brazil","FMM328","Male","N1",174,81,18,15,16.5,93,"NA",NA
"171","NA","Brazil","FMM329","Male","N1",176,83,18,15,18.7,93,"NA",NA
"172","NA","Brazil","FMM330","Male","N1",161,81,17,12,15.1,80,"NA",NA
"173","NA","Brazil","FMM331","Male","N1",175,88,18,15,16.2,87,"NA",NA
"174","NA","Brazil","FMM334","Male","N1",187,88,18,15,16.5,99,"NA",NA
"175","NA","Brazil","FMM335","Male","N1",135,46,19,14,13.3,89,"NA",NA
"176","NA","Brazil","FMM340","Male","N1",189,99,19,16,17.6,90,"NA",NA
"177","NA","Brazil","FMM348","Male","N1",170,90,19,14,13.2,80,"NA",NA
"178","NA","Brazil","FMM349","Male","N1",168,89,19,14,14.7,79,"NA",NA
"179","NA","Brazil","FMM355","Male","N1",182,95,18,14,19.3,87,"NA",NA
"180","NA","Brazil","FMM629","Male","N1",159,86,16,7,16.1,73,"NA",NA
"181","MVZ:Mamm:236347","New_York","DL139","Female","N1",161,81,19,14.5,19,80,"144",NA
"182","MVZ:Mamm:236490","New_York","MJS137","Female","N1",181,87,20,16,24,94,"327",NA
"183","MVZ:Mamm:236491","New_York","MJS139","Female","N1",175,83,19,15,19.4,92,"406",NA
"184","MVZ:Mamm:236492","New_York","MJS141","Female","N1",190,84,20,16,18.8,106,"410",NA
"185","MVZ:Mamm:236493","New_York","MJS142","Female","N1",177,83,20,15,20.1,94,"406",NA
"186","MVZ:Mamm:236601","New_York","MJS154","Female","N1",166,79,19,15,22.2,87,"165",NA
"187","MVZ:Mamm:236602","New_York","MJS155","Female","N1",172,80,19,15,20.6,92,"165",NA
"188","MVZ:Mamm:236604","New_York","MJS165","Female","N1",148,76,18,14,15.2,72,"211",NA
"189","MVZ:Mamm:236605","New_York","MJS166","Female","N1",167,82,20,15,18.3,85,"211",NA
"190","MVZ:Mamm:236607","New_York","MJS168","Female","N1",163,77,17,15,22,86,"261",NA
"191","MVZ:Mamm:236609","New_York","MJS170","Female","N1",165,77,17,14,19.3,88,"440",NA
"192","MVZ:Mamm:236610","New_York","MJS171","Female","N1",187,86,20,15,23.9,101,"440",NA
"193","MVZ:Mamm:236611","New_York","MJS172","Female","N1",182,84,19,15,17.9,98,"440",NA
"194","MVZ:Mamm:236612","New_York","MJS173","Female","N1",183,84,20,15,19.8,99,"440",NA
"195","MVZ:Mamm:236614","New_York","MJS175","Female","N1",174,84,18,14,20.3,90,"222",NA
"196","MVZ:Mamm:236615","New_York","MJS176","Female","N1",186,82,20,17,26.5,104,"514",NA
"197","MVZ:Mamm:236617","New_York","MJS178","Female","N1",195,85,21,16,28.9,110,"452",NA
"198","MVZ:Mamm:236620","New_York","MJS181","Female","N1",183,80,20,16,28.4,103,"452",NA
"199","MVZ:Mamm:236621","New_York","MJS182","Female","N1",179,80,19,20,21.9,99,"271",NA
"200","MVZ:Mamm:236623","New_York","MJS184","Female","N1",171,76,18,15,26.5,95,"517",NA
"201","MVZ:Mamm:236625","New_York","MJS186","Female","N1",172,75,20,15,22.9,97,"271",NA
"202","MVZ:Mamm:236627","New_York","MJS188","Female","N1",179,75,20,14,24.6,104,"271",NA
"203","MVZ:Mamm:236628","New_York","MJS189","Female","N1",189,90,19,15,24.4,99,"517",NA
"204","MVZ:Mamm:236629","New_York","MJS190","Female","N1",172,81,19,15,14.3,91,"273",NA
"205","MVZ:Mamm:236631","New_York","MJS217","Female","N1",162,73,17,14,14.4,89,"257",NA
"206","MVZ:Mamm:236634","New_York","MJS221","Female","N1",162,76,18.5,15,20.2,86,"257",NA
"207","MVZ:Mamm:236635","New_York","MJS222","Female","N1",166,78,19,15,21.5,88,"257",NA
"208","MVZ:Mamm:236636","New_York","MJS223","Female","N1",191,85,18,16,NA,106,"308","preg"
"209","MVZ:Mamm:236638","New_York","MJS321","Female","N1",177,85,18,15,21.3,92,"606",NA
"210","MVZ:Mamm:236639","New_York","MJS322","Female","N1",165,75,18,16,24.9,90,"606",NA
"211","MVZ:Mamm:236640","New_York","MJS324","Female","N1",157,74,18,14,18.5,83,"307",NA
"212","MVZ:Mamm:236642","New_York","MJS326","Female","N1",183,83,19,15,29.9,100,"363",NA
"213","MVZ:Mamm:236643","New_York","MJS329","Female","N1",179,81,19,15,20.6,98,"607",NA
"214","MVZ:Mamm:236651","New_York","MJS338","Female","N1",190,86,18,13,19.9,104,"565",NA
"215","MVZ:Mamm:236652","New_York","MJS339","Female","N1",181,85,17,14,19.7,96,"389",NA
"216","MVZ:Mamm:236654","New_York","MJS343","Female","N1",185,86,18,15,20.9,99,"565",NA
"217","MVZ:Mamm:236656","New_York","MJS360","Female","N1",186,88,19,15,NA,98,"445","preg"
"218","MVZ:Mamm:236660","New_York","MJS224","Female","N1",169,79,18,15,20,90,"472",NA
"219","NA","New_York","MJS196","Female","N1",153,70,19,15,18.6,83,"98",NA
"220","NA","New_York","MJS197","Female","N1",151,70,18,14,17.6,81,"98",NA
"221","NA","New_York","MJS198","Female","N1",152,72,19,15,16.9,80,"98",NA
"222","NA","New_York","MJS215","Female","N1",175,85,17,15,NA,90,"253","preg"
"223","NA","New_York","MJS216","Female","N1",180,81,19,16,19.2,99,"257",NA
"224","NA","New_York","MJS192","Female","N1",158,75,19,15,16.8,83,"273",NA
